Country
Country/Alternative country
Country/Alternative country/Cowpunk
Country/Americana
Country/Australian country
Country/Bakersfield sound
Country/Bluegrass
Country/Bluegrass/Progressive bluegrass
Country/Cajun
Country/Cajun/Cajun fiddle
Country/Christian country
Country/Classic country
Country/Close harmony
Country/Country blues
Country/Country pop
Country/Country rap
Country/Country rock
Country/Cowboy
Country/Cowboy/Cowboy pop
Country/Dansband
Country/Hokum
Country/Honky tonk
Country/Música sertaneja
Country/Nashville sound
Country/Neotraditional country
Country/Outlaw country
Country/Progressive country
Country/Red Dirt
Country/Rockabilly
Country/Rockabilly/Hellbilly
Country/Rockabilly/Psychobilly
Country/Texas country
Country/Traditional country
Country/Truck-driving country
Country/Western swing
Country/Zydeco
